step,episode,avg_reward,win_rate,avg_ep_len,policy_loss,value_loss,entropy
75776,3328,4.6511356,0.41,21.74,-0.01652392905089073,4.848298043012619,2.2080239206552505
77824,3382,3.9600672,0.35,39.97,-0.019805502495728433,5.78691241145134,2.250215858221054
79872,3427,3.6611279999999997,0.32,46.17,-0.01771836181069375,4.176620334386826,2.1832407414913177
81920,3534,4.9919215999999995,0.44,22.21,-0.01806324813514948,9.415543675422668,2.206800237298012
83968,3605,5.1208932,0.45,18.36,-0.021302064473275095,7.421631693840027,2.2120141983032227
86016,3667,4.6160884,0.41,24.92,-0.0156824151345063,7.43867027759552,2.1921045184135437
88064,3707,3.921958000000001,0.35,44.2,-0.010847351921256632,3.5128034353256226,2.143176645040512
90112,3810,5.007878399999999,0.44,21.36,-0.008400480059208348,10.640657484531403,2.1510267108678818
92160,3857,4.07121,0.36,33.08,-0.01244963047793135,4.525133579969406,2.162684828042984
94208,3927,4.4045879999999995,0.39,38.0,-0.01979487348580733,7.417059421539307,2.1317638903856277
96256,4005,5.4385476,0.48,21.26,-0.01656272563559469,8.275434046983719,2.056379646062851
98304,4074,5.6380292,0.5,29.01,-0.016655420477036387,8.287672758102417,2.1158214658498764
100352,4155,4.662261600000001,0.41,25.64,-0.023477818118408322,7.986840933561325,2.0995822697877884
102400,4228,4.1293176,0.36,23.44,-0.021044587512733415,7.322754055261612,2.0856703966856003
104448,4301,4.765651999999999,0.42,28.24,-0.021543142065638676,6.268405318260193,2.108287900686264
106496,4417,5.559269199999999,0.49,15.83,-0.014080680150073022,11.612601935863495,2.065326005220413
108544,4511,4.7757924,0.42,21.45,-0.022147041745483875,8.38246601819992,2.114304542541504
110592,4590,5.444526400000001,0.48,22.39,-0.016348044853657484,8.480696588754654,2.0596800297498703
112640,4706,5.1093876,0.45,17.92,-0.010597930289804935,10.85613340139389,2.1269150525331497
114688,4795,4.781444400000001,0.42,19.6,-0.019028847964364104,8.21120610833168,2.056289851665497
116736,4903,5.7847088,0.51,21.27,-0.00944074202561751,10.639475703239441,2.0135490894317627
118784,5035,6.092481199999998,0.54,11.64,-0.013885494408896193,11.92091429233551,2.0537502616643906
120832,5111,4.913816399999999,0.43,19.87,-0.014780290584894828,7.97862109541893,2.08406338095665
122880,5185,5.2252372000000005,0.46,25.72,-0.018407472234684974,8.455192476511002,2.0395456850528717
124928,5301,5.2164496,0.46,16.22,-0.01985490624792874,10.759018659591675,2.0043613761663437
126976,5381,5.2311824,0.46,22.85,-0.011601873324252665,8.239715665578842,1.9710607528686523
129024,5433,5.1690056,0.46,31.56,-0.01789820977137424,6.838963121175766,2.001361832022667
131072,5478,4.8264788,0.43,42.88,-0.019386493251658976,4.909211218357086,2.145806461572647
133120,5531,4.620339599999999,0.41,42.25,-0.01877356303157285,6.306523323059082,2.031580686569214
135168,5587,5.2701851999999985,0.47,38.34,-0.0170983073185198,6.0963466465473175,2.0468647330999374
137216,5664,3.6691704,0.32,25.71,-0.020414406651980244,6.850112557411194,2.0237949267029762
139264,5716,4.1914088,0.37,32.68,-0.01372801314573735,6.02555775642395,2.043052777647972
141312,5821,5.3517936,0.47,19.78,-0.009762436005985364,10.287751972675323,2.0631846636533737
