step,episode,avg_reward,win_rate,avg_ep_len,policy_loss,value_loss,entropy
65536,189,2.3979468,0.29,349.17,-0.013443129893857986,0.5674682054668665,2.2173487097024918
67584,197,2.692264,0.31,333.93,-0.01899663166841492,1.4684186913073063,2.2351690530776978
69632,203,2.5501584000000004,0.3,343.89,-0.013854030723450705,0.5691002421081066,2.263470247387886
71680,210,2.1952504000000004,0.27,347.45,-0.014912619823007844,1.455942563712597,2.2680743485689163
73728,217,2.0787304,0.26,347.07,-0.010790898988489062,1.0838703364133835,2.290202811360359
75776,226,2.5397811999999997,0.3,337.19,-0.014287145691923797,2.1698956564068794,2.220649927854538
77824,233,2.7293324,0.31,333.64,-0.015498363063670695,1.368000652641058,2.296714723110199
79872,238,2.7350044000000002,0.31,334.1,-0.014879852154990658,0.21558287553489208,2.3003906160593033
81920,243,2.4777516,0.29,342.28,-0.01575977640459314,0.09842290938831866,2.30679127573967
83968,250,2.5288648,0.29,339.18,-0.0174540507432539,1.0043860711157322,2.3072985261678696
86016,256,2.5535908000000003,0.29,338.77,-0.011446464923210442,1.0101136583834887,2.2625714987516403
88064,263,2.5701508,0.29,330.24,-0.013733805622905493,0.5837532989680767,2.275945097208023
90112,271,3.0717896,0.33,319.8,-0.015994224813766778,2.613710083067417,2.3486879765987396
92160,277,3.070462,0.33,319.68,-0.01572238263906911,0.993220366537571,2.274679407477379
94208,284,3.1903880000000004,0.34,306.86,-0.014250553853344172,0.588323381729424,2.2700103521347046
96256,290,3.1974016,0.34,305.45,-0.01667320483829826,0.5836442513391376,2.301925554871559
98304,294,3.177980000000001,0.34,313.07,-0.014950416836654767,0.556079420261085,2.2855676859617233
100352,302,3.3076752,0.35,311.48,-0.013640460034366697,1.8957064300775528,2.2744892835617065
102400,306,3.3092987999999997,0.35,312.1,-0.01558411878068,0.5566698722541332,2.3179360926151276
104448,311,3.0190216000000003,0.33,324.4,-0.013946871273219585,0.14357784995809197,2.258303478360176
106496,316,2.7730616,0.31,328.45,-0.013027919310843572,0.535088924691081,2.2411195188760757
108544,321,2.7586803999999994,0.31,334.5,-0.01451922085834667,1.012600477784872,2.296485513448715
110592,326,2.5460852,0.29,343.32,-0.014312224520836025,0.5241402257233858,2.3153360933065414
112640,333,2.5146395999999998,0.29,342.36,-0.014869719569105655,1.467626828700304,2.340844050049782
114688,340,2.7585132000000003,0.31,337.12,-0.017116541479481384,1.4742424003779888,2.339929163455963
116736,347,2.6425335999999997,0.3,333.07,-0.01419722056016326,0.5742112463340163,2.3134093582630157
118784,354,2.6318808000000002,0.3,333.96,-0.013879196718335152,0.5410247268155217,2.309733420610428
120832,361,2.8775852000000004,0.32,332.83,-0.017152968095615506,1.8895037695765495,2.3551860004663467
122880,367,2.617124,0.3,342.27,-0.015454739041160792,0.9891981147229671,2.3412836641073227
124928,371,2.5385568000000003,0.29,347.86,-0.012251469364855438,0.4903037389740348,2.3765722066164017
126976,379,2.780943999999999,0.31,345.21,-0.017256991093745455,1.7963678240776062,2.3533423393964767
129024,385,2.9288368000000005,0.32,344.41,-0.015227841155137867,0.9367355518043041,2.352150484919548
131072,390,3.1703044000000005,0.34,348.48,-0.01709945942275226,1.3603948093950748,2.3706160187721252
133120,395,3.169390000000001,0.34,345.2,-0.016185185057111084,0.5603214986622334,2.4247984439134598
135168,399,2.9095059999999995,0.32,354.41,-0.017310323426499963,0.14388434123247862,2.399858742952347
137216,403,2.7842688000000004,0.31,362.9,-0.01520937550230883,0.5563906077295542,2.3957214951515198
139264,408,2.8036032,0.31,359.32,-0.013987510144943371,0.5468462500721216,2.3980896919965744
141312,412,2.9231515999999997,0.32,357.96,-0.01275279774563387,0.559311009477824,2.430291712284088
143360,422,3.1854344,0.34,345.56,-0.015005166438641027,2.2394744157791138,2.3910908848047256
145408,429,3.4159199999999994,0.36,336.49,-0.01588930527213961,1.2193074263632298,2.399345710873604
147456,437,3.5771368,0.37,332.19,-0.018225845764391124,1.8000087067484856,2.381826236844063
149504,447,3.864948,0.39,327.44,-0.019738393544685096,2.254286766052246,2.3397115021944046
151552,454,4.213198799999999,0.42,329.2,-0.021714685019105673,1.7245903983712196,2.340842679142952
153600,459,4.0837304,0.41,336.89,-0.015522379078902304,0.9558537527918816,2.316054582595825
155648,466,4.0673096,0.41,335.83,-0.017684204503893852,1.198412623256445,2.297098219394684
157696,474,4.543711199999999,0.45,319.84,-0.016756516590248793,2.8029391020536423,2.274801552295685
159744,481,4.528386,0.45,320.09,-0.016446821100544184,0.9853438995778561,2.2907588481903076
161792,486,4.2542844,0.43,324.21,-0.015728625934571028,0.6639938335865736,2.2906062453985214
163840,490,3.9952776,0.41,329.45,-0.017260166176129133,0.16405977960675955,2.2834221720695496
165888,498,4.5349472,0.45,311.85,-0.017756297020241618,2.1567980349063873,2.2754728943109512
167936,507,5.0551547999999995,0.49,289.76,-0.020155950041953474,2.503604918718338,2.236934870481491
169984,513,5.1931512,0.5,285.58,-0.018333959917072207,1.0239790193736553,2.3070108294487
172032,520,5.442432,0.52,285.39,-0.017461178766097873,1.9150103032588959,2.2922602146863937
174080,526,5.1838612,0.5,293.88,-0.017516861553303897,0.9985903240740299,2.291980668902397
176128,540,5.543030399999999,0.53,285.77,-0.014194170129485428,3.4071760028600693,2.26133131980896
178176,547,5.163346399999999,0.5,291.15,-0.01714928075671196,0.9431659355759621,2.29681558907032
180224,554,4.9086492,0.48,288.5,-0.016996076825307682,0.9670220464468002,2.26123283803463
182272,559,4.958514,0.48,281.02,-0.01872164331143722,0.9172041155397892,2.307376280426979
184320,566,5.0255904000000005,0.48,286.03,-0.017560847132699564,1.0271203126758337,2.238306775689125
186368,572,4.500547599999999,0.44,295.73,-0.018772083916701376,0.9910791330039501,2.207459330558777
188416,578,4.500587599999999,0.44,295.49,-0.020297014591051266,0.9778117723762989,2.270307868719101
190464,585,4.760206799999999,0.46,287.45,-0.017728125938447192,1.7617579400539398,2.2786258906126022
192512,594,5.161494800000001,0.49,270.19,-0.020854978531133384,2.4011549204587936,2.286245420575142
194560,605,5.0348088,0.48,275.18,-0.023412801048834808,2.2040351778268814,2.2678568065166473
196608,612,5.184055599999999,0.49,268.48,-0.023242730065248907,1.7187246903777122,2.250342234969139
198656,617,4.795352,0.46,277.42,-0.016994682169752195,0.5749869626015425,2.261515200138092
200704,627,5.1564787999999995,0.49,263.39,-0.025092854833928868,2.708610400557518,2.2826221585273743
202752,634,5.0319048,0.48,276.09,-0.01917679817415774,1.3499433249235153,2.304250180721283
204800,639,4.6493768,0.45,294.37,-0.017016352008795366,0.8866939786821604,2.245644584298134
206848,646,4.926146,0.47,286.26,-0.020978938147891313,1.3306412771344185,2.3068656623363495
208896,652,4.9504248,0.47,285.27,-0.02148740307893604,1.3497131019830704,2.2736413925886154
210944,658,5.0340376000000004,0.48,285.2,-0.018907687306636944,0.9115351680666208,2.2565889954566956
212992,663,4.7532315999999994,0.46,291.15,-0.01744050096021965,0.5790250496938825,2.2860809564590454
215040,672,4.9973748,0.48,286.96,-0.02222648251336068,2.236661359667778,2.247632712125778
217088,677,5.132463999999999,0.49,288.83,-0.01949219315429218,1.2509402371942997,2.2622873336076736
219136,684,5.1205488,0.49,293.1,-0.023498008667957038,1.724326804280281,2.2310846745967865
221184,693,5.111983599999999,0.49,287.25,-0.019310807925648987,2.012417860329151,2.2066205888986588
223232,699,5.114499599999999,0.49,291.57,-0.016971098244539462,0.9400282613933086,2.2189189344644547
225280,705,4.9604596,0.48,300.25,-0.018143493041861802,1.3606748282909393,2.202832728624344
227328,716,5.0994148,0.49,295.15,-0.019943271356169134,2.4034837186336517,2.1019614040851593
229376,721,5.1030712,0.49,297.64,-0.0173004170646891,0.6077013108879328,2.272750273346901
231424,726,4.598628399999999,0.45,311.94,-0.018727379909250885,0.6185080986469984,2.237250581383705
233472,733,4.5517068,0.45,309.89,-0.020432888995856047,1.407193597406149,2.2958311587572098
235520,740,4.559291599999999,0.45,300.03,-0.019152157998178154,1.2766053639352322,2.2186312079429626
237568,747,4.413727999999999,0.44,310.09,-0.01774974778527394,0.9555471520870924,2.2092609852552414
239616,753,4.3060608,0.43,308.39,-0.018161298241466284,0.98474195972085,2.2152904272079468
241664,761,4.439282400000001,0.44,303.65,-0.02344612148590386,1.6489388793706894,2.2365232557058334
243712,769,4.9530747999999996,0.48,289.96,-0.022100323461927474,2.4742445051670074,2.2480345219373703
245760,776,4.489818799999999,0.44,289.86,-0.01825627070502378,0.6309751849621534,2.2574136406183243
247808,782,4.372351199999999,0.43,290.41,-0.019876497914083302,0.8680559806525707,2.2946550846099854
249856,788,4.1412104,0.41,300.69,-0.018677055137231946,1.0214312709867954,2.3033906668424606
251904,800,4.282252799999999,0.42,293.31,-0.01831158369896002,2.462318107485771,2.2745321542024612
253952,806,4.4105348,0.43,290.75,-0.02030240371823311,1.3636878952383995,2.294562727212906
256000,816,4.539528399999999,0.44,282.74,-0.01850918887066655,2.340711146593094,2.206509068608284
258048,826,5.032617999999999,0.48,261.86,-0.018641896487679332,2.5566497445106506,2.2314103543758392
260096,836,5.1603064000000005,0.49,255.9,-0.02268593103508465,2.4539107903838158,2.181868627667427
262144,842,5.406774799999999,0.51,250.78,-0.025866483454592526,1.3116846159100533,2.2764618694782257
264192,847,5.404733600000002,0.51,255.84,-0.020009577463497408,0.9081190004944801,2.2321844398975372
266240,852,5.392409199999999,0.51,264.44,-0.02241976751247421,0.9781756289303303,2.3091971278190613
268288,859,5.252425199999999,0.5,270.44,-0.01656342632486485,0.9812627397477627,2.1499876379966736
270336,864,4.866373999999999,0.47,278.91,-0.019640227023046464,0.6209471710026264,2.202528178691864
272384,870,4.7636064,0.46,282.71,-0.016439661441836506,0.9455183334648609,2.186784118413925
274432,878,5.0809451999999995,0.49,276.47,-0.02106525795534253,2.2482947036623955,2.2117849588394165
276480,884,5.0860715999999995,0.49,276.85,-0.015969487954862416,1.0288459658622742,2.2412848323583603
278528,893,5.2336028,0.5,269.64,-0.020022674201754853,1.8057713359594345,2.1747498512268066
280576,897,4.714406800000001,0.46,285.24,-0.020319136267062277,0.1630169004201889,2.2343256920576096
282624,905,4.8293632,0.47,289.6,-0.021282228088239208,2.301764093339443,2.2001898288726807
284672,909,4.660057599999999,0.46,298.74,-0.024869221495464444,0.1489503220655024,2.197948306798935
286720,915,4.418337199999999,0.44,313.14,-0.02029054326703772,1.3947197683155537,2.0671437233686447
288768,923,4.462843199999999,0.44,308.81,-0.021756659145466983,1.7125353291630745,2.143109068274498
290816,929,4.4782972,0.44,315.98,-0.020951979386154562,1.729748085141182,2.1143880635499954
292864,940,4.2654584,0.42,317.8,-0.0240701483853627,1.8076200485229492,2.158119812607765
294912,948,4.361478399999999,0.43,308.73,-0.02096417883876711,2.0307199507951736,2.191527768969536
296960,954,4.3769532,0.43,299.75,-0.02133756544208154,0.9645657353103161,2.2124619632959366
299008,964,4.634517999999999,0.45,286.84,-0.023143137921579182,2.031456656754017,2.1528695672750473
301056,970,4.872036,0.47,282.43,-0.019410755194257945,1.6892645210027695,2.2061831951141357
303104,976,4.4983112,0.44,297.96,-0.019035406119655818,0.9900746084749699,2.21293942630291
305152,985,4.8745352,0.47,287.71,-0.021403843362350017,2.1234301403164864,2.1713034361600876
307200,993,4.826184799999999,0.47,288.89,-0.021878801751881838,1.6872784867882729,2.162201479077339
309248,1000,5.080851999999999,0.49,276.59,-0.02082240057643503,1.4295270144939423,2.1728398352861404
311296,1006,4.8453083999999995,0.47,281.42,-0.019282515568193048,0.9646317809820175,2.197896644473076
313344,1013,5.116483199999999,0.49,269.73,-0.01789338726666756,1.4466330707073212,2.184087708592415
315392,1021,4.7543964,0.46,271.81,-0.020300888834754005,1.0332017838954926,2.1023713052272797
317440,1028,4.497622,0.44,278.37,-0.018846709397621453,0.9515118543058634,2.2024299800395966
319488,1034,4.619648,0.45,273.72,-0.020659442932810634,1.3927055969834328,2.120989829301834
321536,1042,4.5561723999999995,0.45,281.6,-0.01865958422422409,1.4300675094127655,2.1231191903352737
323584,1049,4.452586,0.44,281.96,-0.0212017924641259,1.3211013227701187,2.109868347644806
325632,1060,4.9569187999999995,0.48,272.73,-0.019067464920226485,3.2344010025262833,2.0497306436300278
327680,1067,4.475327999999999,0.44,279.93,-0.018633404630236328,0.5961590930819511,2.1225701421499252
329728,1073,4.4720288,0.44,279.5,-0.0188188475149218,0.919489998370409,2.1552467346191406
331776,1082,4.317509599999999,0.43,277.86,-0.021361229184549302,1.9563947916030884,2.126464620232582
333824,1088,4.3134543999999995,0.43,281.6,-0.018558088631834835,1.0721091944724321,2.1554960310459137
335872,1097,4.706170800000001,0.46,271.61,-0.020878062292467803,2.5696825608611107,2.093477815389633
337920,1101,4.700813600000001,0.46,276.05,-0.02081547351554036,0.9852225463837385,2.156998574733734
339968,1107,4.7114148,0.46,278.94,-0.020801597915124148,1.2478656955063343,2.167389541864395
342016,1112,4.5712128000000005,0.45,284.5,-0.017730075254803523,0.6217532735317945,2.1336798071861267
344064,1120,4.7883688,0.47,285.43,-0.0220465860911645,2.0618132576346397,2.1379829198122025
346112,1128,5.002265999999999,0.49,281.8,-0.020596385729731992,1.7156302109360695,2.070119097828865
348160,1134,4.995784799999999,0.49,282.42,-0.02220562842558138,1.272319421172142,2.0140321627259254
350208,1140,4.728657599999999,0.47,291.84,-0.01847630419069901,0.59185397811234,2.107086658477783
