step,episode,avg_reward,win_rate,avg_ep_len,policy_loss,value_loss,entropy
2048,4,-6.977559999999999,0.0,500.0,-0.011758755019400269,0.15224614180624485,2.5405436903238297
4096,8,-2.72634,0.25,447.75,-0.011406533536501229,1.15331095084548,2.5455696880817413
6144,12,-4.136916666666666,0.16666666666666666,465.1666666666667,-0.011702669697115198,0.31581611931324005,2.537167176604271
8192,17,-1.9881623529411758,0.29411764705882354,441.2352941176471,-0.008208382641896605,1.7412230223417282,2.5242419987916946
10240,21,-2.95371619047619,0.23809523809523808,452.42857142857144,-0.011998378409771249,0.3879311000928283,2.5127747654914856
12288,26,-2.3996553846153845,0.2692307692307692,445.5769230769231,-0.01390318428457249,1.3178810998797417,2.506067782640457
14336,32,-2.19285125,0.28125,439.09375,-0.01237203658092767,1.3822617009282112,2.515179216861725
16384,36,-2.7178500000000003,0.25,445.8611111111111,-0.010746262909378856,0.36175905354321003,2.5202555656433105
18432,40,-2.713571000000001,0.25,442.75,-0.010647523391526192,0.8041279744356871,2.503806948661804
20480,45,-2.804066666666667,0.24444444444444444,444.1777777777778,-0.009925214806571603,0.9019805453717709,2.484582334756851
22528,49,-2.8083404081632657,0.24489795918367346,446.14285714285717,-0.012103635934181511,0.8127046171575785,2.484951078891754
24576,54,-2.565661481481482,0.25925925925925924,445.7037037037037,-0.012151156610343605,1.3148825019598007,2.475232943892479
26624,59,-2.0635830508474586,0.288135593220339,439.135593220339,-0.01132345842779614,1.71989393979311,2.4732079803943634
28672,64,-2.1745950000000005,0.28125,438.96875,-0.011301966675091535,0.8897008709609509,2.4331298619508743
30720,68,-2.4533152941176475,0.2647058823529412,442.55882352941177,-0.00940889491175767,0.44574786350131035,2.4673017114400864
32768,72,-2.2423377777777787,0.2777777777777778,444.65277777777777,-0.012734222342260182,1.2423551641404629,2.480897605419159
34816,77,-2.1362296103896106,0.2857142857142857,446.3246753246753,-0.013291673618368804,1.3309797309339046,2.4854861944913864
36864,82,-1.7853000000000003,0.3048780487804878,439.6341463414634,-0.012685290581430309,1.6976333409547806,2.460866257548332
38912,86,-1.8191753488372093,0.3023255813953488,440.51162790697674,-0.010142861225176603,0.8610315024852753,2.461732640862465
40960,90,-2.0438471111111114,0.28888888888888886,443.15555555555557,-0.014417223923373967,0.41259353421628475,2.4564660638570786
