step,episode,avg_reward,win_rate,avg_ep_len,policy_loss,value_loss,entropy
59392,164,3.0288936,0.36,373.18,-0.010531114414334297,1.0337061174213886,2.521414041519165
61440,170,3.284056,0.38,367.03,-0.009612790658138692,1.0574429351836443,2.512163206934929
63488,177,3.0243848000000004,0.36,371.44,-0.01196476916084066,1.476304966956377,2.4687132090330124
65536,184,3.147684800000001,0.37,367.74,-0.011841955842101015,1.1335658356547356,2.4779556542634964
67584,191,2.7508839999999997,0.34,373.01,-0.011230966687435284,1.4583051577210426,2.4808118641376495
69632,198,2.7394636,0.34,370.22,-0.011558974510990083,1.3969384729862213,2.393422022461891
71680,204,2.3535424000000003,0.31,380.09,-0.008138686360325664,0.9671405591070652,2.466724991798401
73728,209,2.3643959999999997,0.31,378.24,-0.010659122432116419,0.5638298122212291,2.4186412692070007
75776,213,2.3638356000000003,0.31,382.44,-0.015325329964980483,0.5587639398872852,2.3960108309984207
77824,219,2.4968828000000003,0.32,377.74,-0.010160733567317948,1.588885135948658,2.452610269188881
79872,228,2.8702675999999996,0.35,361.85,-0.009125984797719866,2.6149469912052155,2.4553240090608597
81920,233,2.8731664,0.35,362.39,-0.010022491769632325,0.5970157589763403,2.469380348920822
83968,238,3.0047044000000005,0.36,358.81,-0.012246221478562802,0.9126000721007586,2.4822005927562714
86016,250,3.7999508000000004,0.42,332.22,-0.009980905160773546,3.6372931003570557,2.437932997941971
88064,255,3.9468572,0.43,328.49,-0.01114841180969961,0.6180011425167322,2.4369959980249405
90112,260,4.203988000000001,0.45,321.62,-0.011133934778627008,0.9829639159142971,2.447375252842903
92160,265,4.2124872,0.45,328.75,-0.012834590510465205,0.961012814193964,2.457624539732933
94208,269,4.0882812,0.44,333.64,-0.01240451046032831,0.17952156951650977,2.4119539856910706
96256,275,4.094782,0.44,333.83,-0.011310964939184487,1.4082771874964237,2.4169520437717438
98304,281,4.100822,0.44,337.9,-0.013493805658072233,1.3191965483129025,2.4304885864257812
100352,286,4.108905200000001,0.44,341.07,-0.011175472784088925,0.9713095128536224,2.443174496293068
102400,291,3.991386,0.43,346.0,-0.012663995032198727,0.5893481038510799,2.4518818259239197
104448,296,3.9930231999999988,0.43,350.49,-0.010350566531997174,0.9929491151124239,2.4709417074918747
106496,304,4.2794548,0.45,348.32,-0.008870603516697884,2.240051932632923,2.455621898174286
108544,309,4.665232799999999,0.48,339.24,-0.01024850680551026,1.6471303813159466,2.43378184735775
110592,316,4.6559552,0.48,336.02,-0.013053366623353213,1.3535601496696472,2.3943024575710297
112640,320,4.3978724,0.46,342.29,-0.013080088421702385,0.25082177110016346,2.412144884467125
114688,324,4.015888400000001,0.43,357.41,-0.008214390836656094,0.5629815924912691,2.3949827700853348
116736,330,4.288692,0.45,352.42,-0.011400861898437142,1.7395507246255875,2.395456224679947
118784,339,4.6812424,0.48,339.3,-0.010747063963208348,2.5794554501771927,2.3704210370779037
120832,343,4.292059200000001,0.45,353.81,-0.009923650475684553,0.564448338933289,2.351723000407219
122880,352,4.413632800000001,0.46,356.87,-0.009947568993084133,2.5530415028333664,2.4178558588027954
124928,356,4.415147200000001,0.46,359.9,-0.008654544712044299,0.6687671095132828,2.4149613827466965
126976,360,4.144121600000001,0.44,366.77,-0.011059220880270004,0.1934214597567916,2.3851609379053116
129024,367,4.389679599999999,0.46,354.84,-0.010780817887280136,1.558348037302494,2.363674283027649
131072,372,4.251331599999999,0.45,360.67,-0.00987198794609867,0.5826347889378667,2.3617722392082214
133120,376,4.1089888000000006,0.44,364.43,-0.011354710470186546,0.5547704566270113,2.3528818786144257
135168,384,4.100114,0.44,360.47,-0.011589520378038287,1.7942769899964333,2.4161947816610336
137216,388,4.222226,0.45,360.07,-0.010741011356003582,0.5444395113736391,2.340027406811714
139264,392,4.0756864,0.44,364.04,-0.009144165785983205,0.5599539009854198,2.3481210619211197
141312,398,4.208031600000001,0.45,361.47,-0.01176338252844289,1.3763140141963959,2.3263548761606216
143360,403,3.7967836000000004,0.42,369.32,-0.009232897020410746,0.21338068787008524,2.3932255655527115
145408,407,3.399094400000001,0.39,385.29,-0.009324244281742722,0.5521118771284819,2.399050250649452
147456,412,3.4025708000000003,0.39,387.36,-0.008561724855098873,0.9936437234282494,2.4073268473148346
149504,417,3.3946356000000004,0.39,384.02,-0.00988346483791247,0.9696591757237911,2.4334998577833176
151552,422,3.3808416,0.39,384.02,-0.011675060668494552,0.1493723439052701,2.3903786689043045
153600,429,3.3746608000000005,0.39,379.62,-0.009094267152249813,1.8470752611756325,2.4413628429174423
155648,434,3.3628296000000004,0.39,372.47,-0.009024465543916449,0.978547777980566,2.4101998656988144
157696,438,2.9674168000000005,0.36,388.06,-0.010673920740373433,0.5526087367907166,2.425520420074463
159744,443,2.9671944000000003,0.36,388.28,-0.010219668183708563,0.9744716957211494,2.4104297161102295
161792,449,2.840049600000001,0.35,391.7,-0.009027488646097481,0.9936469495296478,2.380773603916168
